Date,High,Low,Open,Close,Volume,Macd,Macdsignal,rsi,bull_rsi,bear_rsi,stochK,stochD,ema21,ema50,ema100,ema200,bblower,bbupper,cci,roc,atr,adx,di_minus,di_plus
2017-11-03T22:00,7200.00,6930.10,7132.10,7167.60,11661,-3.27,276.84,69.62,66.81,70.09,73.09,79.29,6906.41,6503.1,6123.85,5617.4,6282.79,7533.64,52.01,0.01,215.76,58.01,14.17,26.66
2017-11-04T02:00,7245.20,7086.80,7167.50,7181.60,4764,-12.93,273.60,70.07,67.50,70.48,67,73.05,6931.42,6529.71,6144.79,5632.97,6344.73,7544.35,64.11,0.03,211.66,56.24,13.41,26.76
2017-11-04T06:00,7193.00,7058.20,7182.30,7092.00,3815,-26.52,266.97,63.63,58.82,64.80,61.06,67.05,6946.02,6551.76,6163.55,5647.48,6428.34,7528.76,45.05,0.01,206.17,54.36,13.77,25.51
2017-11-04T10:00,7362.00,7091.90,7092.00,7333.70,10050,-20.65,261.81,71.29,70.28,71.42,65.45,64.5,6981.26,6582.43,6186.72,5664.27,6526.33,7525.26,84.29,0.02,210.74,53.3,12.51,28.91
2017-11-04T14:00,7431.50,7296.20,7338.00,7431.30,7975,-12.05,258.80,73.70,73.58,73.57,76.63,67.71,7022.18,6615.72,6211.37,5681.85,6587.73,7550.75,117.61,0.02,205.35,52.57,11.92,29.96
2017-11-04T18:00,7530.00,7324.70,7431.20,7369.90,9636,-12.31,255.72,69.74,68.28,70.04,86.19,76.09,7053.79,6645.29,6234.31,5698.65,6675.47,7545.1,120.34,0.01,205.35,52.22,11.07,31.25
2017-11-04T22:00,7421.00,7272.00,7370.00,7388.00,5216,-13.00,252.47,70.24,69.01,70.49,83.95,82.25,7084.17,6674.42,6257.15,5715.46,6768.61,7531.14,98.43,0.01,201.32,51.43,12.36,29.6
2017-11-05T02:00,7484.00,7316.40,7393.40,7426.50,5070,-12.60,249.32,71.35,70.61,71.45,79.13,83.09,7115.29,6703.91,6280.31,5732.48,6834.53,7533.91,112.04,0.02,198.91,50.92,11.61,30.08
2017-11-05T06:00,7590.00,7390.00,7426.30,7541.50,8176,-6.62,247.66,74.40,74.91,74.13,84.2,82.43,7154.04,6736.76,6305.28,5750.48,6871.41,7566.19,142.21,0.06,198.99,50.8,10.78,31.72
2017-11-05T10:00,7598.00,7460.00,7541.50,7518.00,8849,-6.28,246.09,72.69,72.50,72.64,87.93,83.75,7187.13,6767.39,6329.3,5768.07,6908.17,7589.94,138.35,0.05,194.63,50.72,10.23,30.41
